name,category,country,latitude,longitude,image_url
,,Cote d'Ivoire,5.2963398,-3.9490385,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Remblais,,Cote d'Ivoire,5.2971904,-3.9646838,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.2973442,-3.9599883,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Zawia Baradji,,Cote d'Ivoire,5.2974795,-3.9593013,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.2987608,-3.9562415,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.2988573,-3.9683347,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.299331,-3.9589351,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Hamza,,Cote d'Ivoire,5.2993457,-3.9683645,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3001876,-3.9592201,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3002397,-3.9601307,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3003893,-3.9570643,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3006937,-3.9608569,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Rahman,sunni,Cote d'Ivoire,5.3008209,-3.9644532,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée inchallah Allar,,Cote d'Ivoire,5.3008727,-3.9646228,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3009008,-3.9569774,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Tour Sinine,,Cote d'Ivoire,5.3009775,-3.9669959,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3009955,-3.9596701,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
